X,CH1,CH2,
Second,Volt,Volt,
-2.8160000e-02,2.40000e-03,-8.00000e-02,
-2.8139995e-02,2.40000e-03,-8.00000e-02,
-2.8119998e-02,3.20000e-03,-8.00000e-02,
-2.8100001e-02,3.20000e-03,-8.00000e-02,
-2.8079996e-02,3.20000e-03,-8.00000e-02,
-2.8059999e-02,3.20000e-03,-8.00000e-02,
-2.8040001e-02,4.00000e-03,-8.00000e-02,
-2.8019996e-02,3.20000e-03,-8.00000e-02,
-2.7999999e-02,4.00000e-03,-8.00000e-02,
-2.7980002e-02,4.00000e-03,-8.00000e-02,
-2.7959997e-02,4.00000e-03,-8.00000e-02,
-2.7939999e-02,4.00000e-03,-8.00000e-02,
-2.7919995e-02,4.80000e-03,-8.00000e-02,
-2.7899997e-02,4.00000e-03,-8.00000e-02,
-2.7880000e-02,4.00000e-03,-8.00000e-02,
-2.7859995e-02,4.00000e-03,-8.00000e-02,
-2.7839998e-02,3.20000e-03,-8.00000e-02,
-2.7820000e-02,3.20000e-03,-8.00000e-02,
-2.7799996e-02,2.40000e-03,-8.00000e-02,
-2.7779998e-02,2.40000e-03,-8.00000e-02,
-2.7760001e-02,1.60000e-03,-8.00000e-02,
-2.7739996e-02,2.40000e-03,-8.00000e-02,
-2.7719999e-02,1.60000e-03,-8.00000e-02,
-2.7700001e-02,2.40000e-03,-8.00000e-02,
-2.7679997e-02,2.40000e-03,-8.00000e-02,
-2.7659999e-02,2.40000e-03,-8.00000e-02,
-2.7640002e-02,2.40000e-03,-8.00000e-02,
-2.7619997e-02,3.20000e-03,-8.00000e-02,
-2.7600000e-02,2.40000e-03,-8.00000e-02,
-2.7579995e-02,2.40000e-03,-8.00000e-02,
-2.7559998e-02,1.60000e-03,-8.00000e-02,
-2.7540000e-02,2.40000e-03,-8.00000e-02,
-2.7519995e-02,1.60000e-03,-8.00000e-02,
-2.7499998e-02,1.60000e-03,-8.00000e-02,
-2.7480001e-02,2.40000e-03,-8.00000e-02,
-2.7459996e-02,2.40000e-03,-8.00000e-02,
-2.7439998e-02,2.40000e-03,-8.00000e-02,
-2.7420001e-02,3.20000e-03,-8.00000e-02,
-2.7399996e-02,3.20000e-03,-8.00000e-02,
-2.7379999e-02,3.20000e-03,-8.00000e-02,
-2.7360002e-02,2.40000e-03,-8.00000e-02,
-2.7339997e-02,3.20000e-03,-8.00000e-02,
-2.7319999e-02,3.20000e-03,-8.00000e-02,
-2.7299995e-02,3.20000e-03,-8.00000e-02,
-2.7279997e-02,3.20000e-03,-8.00000e-02,
-2.7260000e-02,2.40000e-03,-8.00000e-02,
-2.7239995e-02,3.20000e-03,-8.00000e-02,
-2.7219998e-02,3.20000e-03,-8.00000e-02,
-2.7200000e-02,3.20000e-03,-8.00000e-02,
-2.7179996e-02,3.20000e-03,-8.00000e-02,
-2.7159998e-02,3.20000e-03,-8.00000e-02,
-2.7140001e-02,2.40000e-03,-8.00000e-02,
-2.7119996e-02,2.40000e-03,-8.00000e-02,
-2.7099999e-02,2.40000e-03,-8.00000e-02,
-2.7080001e-02,2.40000e-03,-8.00000e-02,
-2.7059997e-02,2.40000e-03,-8.00000e-02,
-2.7039999e-02,2.40000e-03,-8.00000e-02,
-2.7020002e-02,1.60000e-03,-8.00000e-02,
-2.6999997e-02,1.60000e-03,-8.00000e-02,
-2.6980000e-02,1.60000e-03,-8.00000e-02,
-2.6959995e-02,1.60000e-03,-8.00000e-02,
-2.6939997e-02,1.60000e-03,-8.00000e-02,
-2.6920000e-02,2.40000e-03,-8.00000e-02,
-2.6899995e-02,2.40000e-03,-8.00000e-02,
-2.6879998e-02,1.60000e-03,-8.00000e-02,
